title,website,province,cathedral,founded
Bath and Wells,www.bathandwells.org.uk,Canterbury,Wells Cathedral,909
Birmingham,http://www.cofebirmingham.com,Canterbury,St Philip's Cathedral,1905
Blackburn,www.blackburn.anglican.org,York,Blackburn Cathedral,1926
Bristol,https://www.bristol.anglican.org,Canterbury,Bristol Cathedral,597
Canterbury,www.canterbury.anglican.org,Canterbury,Canterbury Cathedral,1542
Carlisle,https://www.carlislediocese.org.uk,York,Carlisle Cathedral,1133
Chelmsford,http://www.chelmsford.anglican.org,Canterbury,Chelmsford Cathedral,1914
Chester,http://www.chester.anglican.org,York,Chester Cathedral,1541
Chichester,http://www.chichester.anglican.org,Canterbury,Chichester Cathedral,1075
Coventry,http://www.dioceseofcoventry.org,Canterbury,Coventry Cathedral,1918
Derby,http://www.derby.anglican.org/en,Canterbury,Derby Cathedral,1927
Durham,http://durhamdiocese.org,York,Durham Cathedral,990
Ely,http://www.elydiocese.org,Canterbury,Ely Cathedral,1109
Europe,http://www.europe.anglican.org,Canterbury,Gibraltar Cathedral,1842
Exeter,http://exeter.anglican.org,Canterbury,Exeter Cathedral,1050
Gloucester,http://www.gloucester.anglican.org,Canterbury,Gloucester Cathedral,1541
Guildford,http://www.cofeguildford.org.uk,Canterbury,Guildford Cathedral,1927
Hereford,https://www.hereford.anglican.org,Canterbury,Gereford Cathedral,676
Leeds,http://www.westyorkshiredales.anglican.org,York,"Ripon, Wakefield, Bradford Cathedral",2014
Leicester,https://www.leicester.anglican.org,Canterbury,Leicester Cathedral,1926
Lichfield,https://www.lichfield.anglican.org,Canterbury,Lichfield Cathedral,664
Lincoln,http://www.lincoln.anglican.org,Canterbury,Lincoln Cathedral,1074
Liverpool,http://www.liverpool.anglican.org,York,Liverpool Cathedral,1880
London,https://www.london.anglican.org,Canterbury,St Paul's Cathedral,601
Manchester,https://www.manchester.anglican.org,York,Manchester Cathedral,1848
Newcastle,http://www.newcastle.anglican.org,York,Newcastle Cathedral,1882
Norwich,https://www.dioceseofnorwich.org,Canterbury,Norwich Cathedral,1096
Oxford,https://www.oxford.anglican.org,Canterbury,Christ Church Cathedral,1542
Peterborough,http://www.peterborough-diocese.org.uk,Canterbury,Peterborough Cathedral,1541
Portsmouth,https://www.portsmouth.anglican.org,Canterbury,Portsmouth Cathedral,1927
Rochester,http://www.rochester.anglican.org,Canterbury,Rochester Cathedral,604
Saint Albans,https://www.stalbans.anglican.org,Canterbury,St Albans Cathedral,1877
Saint Edmundsbury & Ipswich,http://www.cofesuffolk.org,Canterbury,St Edmundsbury Cathedral,1914
Salisbury,http://www.salisbury.anglican.org,Canterbury,Salisbury Cathedral,1078
Sheffield,http://www.sheffield.anglican.org,York,Sheffield Cathedral,1914
Sodor & Man,http://www.sodorandman.im,York,Peel Cathedral,"447, 1400"
Southwark,http://southwark.anglican.org,Canterbury,Southwark Cathedral,1905
Southwell and Nottingham,http://southwell.anglican.org,York,Southwell Minster,1884
Truro,http://www.trurodiocese.org.uk,Canterbury,Truro Cathedral,1877
Winchester,http://www.winchester.anglican.org,Canterbury,Winchester Cathedral,662
Worcester,http://www.cofe-worcester.org.uk,York,Worcester Cathedral,680
York,http://dioceseofyork.org.uk,York,York Minster,625
